Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,TrialNumber_total,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,Blocks_TMTA1.thisRepN,Blocks_TMTA1.thisTrialN,Blocks_TMTA1.thisN,Blocks_TMTA1.thisIndex,trials_TMTA1.thisRepN,trials_TMTA1.thisTrialN,trials_TMTA1.thisN,trials_TMTA1.thisIndex,Blocks_Control2.thisRepN,Blocks_Control2.thisTrialN,Blocks_Control2.thisN,Blocks_Control2.thisIndex,trials_Control2.thisRepN,trials_Control2.thisTrialN,trials_Control2.thisN,trials_Control2.thisIndex,Blocks_TMTB1.thisRepN,Blocks_TMTB1.thisTrialN,Blocks_TMTB1.thisN,Blocks_TMTB1.thisIndex,trials_TMTB1.thisRepN,trials_TMTB1.thisTrialN,trials_TMTB1.thisN,trials_TMTB1.thisIndex,Blocks_Control3.thisRepN,Blocks_Control3.thisTrialN,Blocks_Control3.thisN,Blocks_Control3.thisIndex,trials_Control3.thisRepN,trials_Control3.thisTrialN,trials_Control3.thisN,trials_Control3.thisIndex,Blocks_TMTA2.thisRepN,Blocks_TMTA2.thisTrialN,Blocks_TMTA2.thisN,Blocks_TMTA2.thisIndex,trials_TMTA2.thisRepN,trials_TMTA2.thisTrialN,trials_TMTA2.thisN,trials_TMTA2.thisIndex,Blocks_Control4.thisRepN,Blocks_Control4.thisTrialN,Blocks_Control4.thisN,Blocks_Control4.thisIndex,trials_Control4.thisRepN,trials_Control4.thisTrialN,trials_Control4.thisN,trials_Control4.thisIndex,Blocks_TMTB2.thisRepN,Blocks_TMTB2.thisTrialN,Blocks_TMTB2.thisN,Blocks_TMTB2.thisIndex,trials_TMTB2.thisRepN,trials_TMTB2.thisTrialN,trials_TMTB2.thisN,trials_TMTB2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,text_2.started,text_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,Info2.started,Info2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
C1,0:26,10,['2'],2,Images/TMTstop-control_1_1linestimulus7.png,Images/TMTstop-control_1_1greenlinestimulus7.png,Images/TMTstop-control_1_1redlinestimulus7.png,TMT_Control,C1,10,None,1,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,11.474187100015115,51.90954820002662,None,"['1', '2']",1,"[0.1054020999581553, 0.19072179996874183]",51.90954820002662,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C1,0:26,11,['1'],1,Images/TMTstop-control_1_1linestimulus8.png,Images/TMTstop-control_1_1greenlinestimulus8.png,Images/TMTstop-control_1_1redlinestimulus8.png,TMT_Control,C1,11,None,1,11,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,12.436180300021078,52.18851000000723,None,"['3', '1', '2', '2', '3', '1']",1,"[-0.001244800048880279, 0.5123116999748163, 0.5304371999809518, 0.5918089999468066, 0.6982238999917172, 0.8752929999609478]",52.18851000000723,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C1,0:26,12,['2'],2,Images/TMTstop-control_1_1linestimulus9.png,Images/TMTstop-control_1_1greenlinestimulus9.png,Images/TMTstop-control_1_1redlinestimulus9.png,TMT_Control,C1,12,None,1,12,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,12.486180900014006,53.1444883000222,None,['2'],1,[-0.027770599990617484],53.1444883000222,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C1,0:26,13,['3'],3,Images/TMTstop-control_1_1linestimulus10.png,Images/TMTstop-control_1_1greenlinestimulus10.png,Images/TMTstop-control_1_1redlinestimulus10.png,TMT_Control,C1,13,None,1,13,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,12.571222200000193,53.19631010002922,None,['3'],1,[0.00640499999281019],53.19631010002922,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C1,0:26,14,['2'],2,Images/TMTstop-control_1_1linestimulus11.png,Images/TMTstop-control_1_1greenlinestimulus11.png,Images/TMTstop-control_1_1redlinestimulus11.png,TMT_Control,C1,14,None,1,14,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,12.755074299988337,53.27970810001716,None,"['1', '2']",1,"[0.08389790001092479, 0.1290887999930419]",53.27970810001716,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C1,0:26,15,['3'],3,Images/TMTstop-control_1_1linestimulus12.png,Images/TMTstop-control_1_1greenlinestimulus12.png,Images/TMTstop-control_1_1redlinestimulus12.png,TMT_Control,C1,15,None,1,15,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,12.846211299998686,53.468035500030965,None,['3'],1,[0.019753600005060434],53.468035500030965,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C1,0:26,16,['2'],2,Images/TMTstop-control_1_1linestimulus13.png,Images/TMTstop-control_1_1greenlinestimulus13.png,Images/TMTstop-control_1_1redlinestimulus13.png,TMT_Control,C1,16,None,1,16,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,13.050181900034659,53.55830470001092,None,"['1', '2']",1,"[0.0936937999795191, 0.12261459999717772]",53.55830470001092,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C1,0:26,17,['3'],3,Images/TMTstop-control_1_1linestimulus14.png,Images/TMTstop-control_1_1greenlinestimulus14.png,Images/TMTstop-control_1_1redlinestimulus14.png,TMT_Control,C1,17,None,1,17,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,13.13408420002088,53.75854710000567,None,['3'],1,[0.011764599999878556],53.75854710000567,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C1,0:26,18,['2'],2,Images/TMTstop-control_1_1linestimulus15.png,Images/TMTstop-control_1_1greenlinestimulus15.png,Images/TMTstop-control_1_1redlinestimulus15.png,TMT_Control,C1,18,None,1,18,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,13.31732450000709,53.84144530002959,None,"['1', '2']",1,"[0.07303580001462251, 0.1158236000337638]",53.84144530002959,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C1,0:26,19,['1'],1,Images/TMTstop-control_1_1linestimulus16.png,Images/TMTstop-control_1_1greenlinestimulus16.png,Images/TMTstop-control_1_1redlinestimulus16.png,TMT_Control,C1,19,None,1,19,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,13.56704960000934,54.0256151999929,None,"['3', '1']",1,"[0.011385100020561367, 0.16014920000452548]",54.0256151999929,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C1,0:26,20,['3'],3,Images/TMTstop-control_1_1linestimulus17.png,Images/TMTstop-control_1_1greenlinestimulus17.png,Images/TMTstop-control_1_1redlinestimulus17.png,TMT_Control,C1,20,None,1,20,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,13.670197000028566,54.27694250002969,None,"['2', '3']",1,"[-0.048495099996216595, 0.047364900005050004]",54.27694250002969,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C1,0:26,21,['1'],1,Images/TMTstop-control_1_1linestimulus18.png,Images/TMTstop-control_1_1greenlinestimulus18.png,Images/TMTstop-control_1_1redlinestimulus18.png,TMT_Control,C1,21,None,1,21,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,13.82120850001229,54.378742500033695,None,['1'],1,[0.09405529999639839],54.378742500033695,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C1,0:26,22,['2'],2,Images/TMTstop-control_1_1linestimulus19.png,Images/TMTstop-control_1_1greenlinestimulus19.png,Images/TMTstop-control_1_1redlinestimulus19.png,TMT_Control,C1,22,None,1,22,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,13.871206099982373,54.52968500001589,None,['2'],1,[-0.0058991999831050634],54.52968500001589,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C1,0:26,23,['3'],3,Images/TMTstop-control_1_1linestimulus20.png,Images/TMTstop-control_1_1greenlinestimulus20.png,Images/TMTstop-control_1_1redlinestimulus20.png,TMT_Control,C1,23,None,1,23,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,13.978229300002567,54.58639489999041,None,['3'],1,[0.048290900012943894],54.58639489999041,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C1,0:26,24,['2'],2,Images/TMTstop-control_1_1linestimulus21.png,Images/TMTstop-control_1_1greenlinestimulus21.png,Images/TMTstop-control_1_1redlinestimulus21.png,TMT_Control,C1,24,None,1,24,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,14.515228200005367,54.68653230002383,None,['2'],1,[0.4763276999583468],54.68653230002383,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C1,0:26,25,['1'],1,Images/TMTstop-control_1_1linestimulus22.png,Images/TMTstop-control_1_1greenlinestimulus22.png,Images/TMTstop-control_1_1redlinestimulus22.png,TMT_Control,C1,25,None,1,25,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,14.906212400004733,55.23117220000131,None,['1'],1,[0.3316161999828182],55.23117220000131,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C1,0:26,None,None,None,Images/TMTstop-control_1_1linestimulus23.png,Images/TMTstop-control_1_1greenlinestimulus23.png,Images/TMTstop-control_1_1redlinestimulus23.png,TMT_Control,C1,Feedback_last,None,1,Feedback_last,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,55.6224438000354,None,None,1,,55.6224438000354,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C2,26:52,1,['2'],2,Images/TMTstop-control_1_2.png,Images/TMTstop-control_1_2.png,Images/TMTstop-control_1_2.png,TMT_Control,C2,26,None,1,26,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,19.70607580000069,59.92709569999715,None,"['1', '2']",1,"[0.2904746000422165, 0.40775190002750605]",59.92709569999715,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C2,26:52,2,['3'],3,Images/TMTstop-control_1_2.png,Images/TMTstop-control_1_2firstgreen.png,Images/TMTstop-control_1_2firstred.png,TMT_Control,C2,27,None,1,27,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,19.75694300001487,60.41497470001923,None,['3'],1,[-0.0441385000012815],60.41497470001923,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C2,26:52,3,['2'],2,Images/TMTstop-control_1_2linestimulus0.png,Images/TMTstop-control_1_2greenlinestimulus0.png,Images/TMTstop-control_1_2redlinestimulus0.png,TMT_Control,C2,28,None,1,28,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,19.94793279998703,60.47006479999982,None,"['1', '2']",1,"[0.061426500033121556, 0.11880550003843382]",60.47006479999982,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C2,26:52,4,['3'],3,Images/TMTstop-control_1_2linestimulus1.png,Images/TMTstop-control_1_2greenlinestimulus1.png,Images/TMTstop-control_1_2redlinestimulus1.png,TMT_Control,C2,29,None,1,29,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,20.006104000029154,60.66437830001814,None,['3'],1,[-0.00848670001141727],60.66437830001814,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C2,26:52,5,['2'],2,Images/TMTstop-control_1_2linestimulus2.png,Images/TMTstop-control_1_2greenlinestimulus2.png,Images/TMTstop-control_1_2redlinestimulus2.png,TMT_Control,C2,30,None,1,30,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,20.243935699982103,60.71432830003323,None,"['1', '2']",1,"[0.07764799997676164, 0.1383728999644518]",60.71432830003323,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C2,26:52,6,['3'],3,Images/TMTstop-control_1_2linestimulus3.png,Images/TMTstop-control_1_2greenlinestimulus3.png,Images/TMTstop-control_1_2redlinestimulus3.png,TMT_Control,C2,31,None,1,31,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,20.300092299992684,60.9582095000078,None,['3'],1,[-0.03528710000682622],60.9582095000078,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C2,26:52,7,['2'],2,Images/TMTstop-control_1_2linestimulus4.png,Images/TMTstop-control_1_2greenlinestimulus4.png,Images/TMTstop-control_1_2redlinestimulus4.png,TMT_Control,C2,32,None,1,32,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,20.4670952000306,61.00844609999331,None,"['1', '2']",1,"[0.06337760004680604, 0.10701560002053156]",61.00844609999331,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C2,26:52,8,['1'],1,Images/TMTstop-control_1_2linestimulus4.png,Images/TMTstop-control_1_2greenlinestimulus5.png,Images/TMTstop-control_1_2redlinestimulus5.png,TMT_Control,C2,33,None,1,33,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,20.753100000030827,61.18170210003154,None,"['3', '2', '1']",1,"[0.013195899955462664, 0.20830659999046475, 0.2120287999860011]",61.18170210003154,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C2,26:52,9,['3'],3,Images/TMTstop-control_1_2linestimulus6.png,Images/TMTstop-control_1_2greenlinestimulus6.png,Images/TMTstop-control_1_2redlinestimulus6.png,TMT_Control,C2,34,None,1,34,0,1,1,1,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,20.970004400005564,61.46103559999028,None,['3'],1,[0.16282930003944784],61.46103559999028,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C2,26:52,10,['2'],2,Images/TMTstop-control_1_2linestimulus7.png,Images/TMTstop-control_1_2greenlinestimulus7.png,Images/TMTstop-control_1_2redlinestimulus7.png,TMT_Control,C2,35,None,1,35,0,1,1,1,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,21.22819520003395,61.67758060002234,None,"['1', '2']",1,"[0.13650189997861162, 0.1643243000144139]",61.67758060002234,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C2,26:52,11,['3'],3,Images/TMTstop-control_1_2linestimulus8.png,Images/TMTstop-control_1_2greenlinestimulus8.png,Images/TMTstop-control_1_2redlinestimulus8.png,TMT_Control,C2,36,None,1,36,0,1,1,1,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,21.31121339998208,61.93611980002606,None,['3'],1,[0.021356599987484515],61.93611980002606,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C2,26:52,12,['2'],2,Images/TMTstop-control_1_2linestimulus9.png,Images/TMTstop-control_1_2greenlinestimulus9.png,Images/TMTstop-control_1_2redlinestimulus9.png,TMT_Control,C2,37,None,1,37,0,1,1,1,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,21.553177000023425,62.01918669999577,None,"['1', '2']",1,"[0.10362220002571121, 0.15731380000943318]",62.01918669999577,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
C2,26:52,13,['3'],3,Images/TMTstop-control_1_2linestimulus10.png,Images/TMTstop-control_1_2greenlinestimulus10.png,Images/TMTstop-control_1_2redlinestimulus10.png,TMT_Control,C2,38,None,1,38,0,1,1,1,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,21.593159099982586,62.25141440000152,None,['3'],1,[-6.430002395063639e-05],62.25141440000152,None,,,,001,2022_Dec_20_1655,TMT_fmri,2021.2.3,59.88583364190807,
