NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,19.72637719998602,None,1,0.013814099991577677,19.72637719998602,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,19.816389499988873,None,2,0.0019742000004043803,19.816389499988873,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,19.920364699995844,None,3,0.0021069000067654997,19.920364699995844,None,,,,,,,,,,,,,,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.028863499988802,None,2,0.529006600001594,21.028863499988802,None,,,,,,,,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,21.577407799995854,None,,,,,,,,,,,,,24.628297399991425,None,['2'],1,[2.1143920999893453],24.628297399991425,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.83674639998935,None,"['2', '1']",1,"[0.3315225999976974, 0.5496017999976175]",26.83674639998935,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.469002699988778,None,"['3', '1', '2']",1,"[0.10506170000007842, 0.2848228999937419, 5.057857399995555]",27.469002699988778,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.635532599990256,None,['3'],1,[0.4486459999898216],32.635532599990256,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1701422999904,None,['2'],1,[0.4330152999900747],33.1701422999904,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.69140019999759,None,['3'],1,[1.2239562000031583],33.69140019999759,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00344529999711,None,['2'],1,[0.8131377999961842],35.00344529999711,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.91328289998637,None,['1'],1,[0.6510527999926126],35.91328289998637,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.64261699999042,None,['2'],1,[0.511663099998259],36.64261699999042,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.236124799994286,None,['1'],1,[0.5221834999974817],37.236124799994286,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.83802469998773,None,['2'],1,[1.2751543000049423],37.83802469998773,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.190768599990406,None,['3'],1,[0.6031655999977374],39.190768599990406,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.90599729999667,None,['2'],1,[0.3279350000084378],39.90599729999667,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.32255309999164,None,['3'],1,[0.5568800999899395],40.32255309999164,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.96882419999747,None,['1'],1,[0.476726900000358],40.96882419999747,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.53787799998827,None,['3'],1,[0.4657685999991372],41.53787799998827,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.09360919999017,None,['2'],1,[0.43806499999482185],42.09360919999017,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.64913219999289,None,['3'],1,[0.6499088999989908],42.64913219999289,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.378563499994925,None,['1'],1,[0.8936694000003627],43.378563499994925,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.35781559998577,None,['3'],1,[2.2882863999984693],44.35781559998577,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.75995679998596,None,['1'],1,[1.1710602999955881],46.75995679998596,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.01685619998898,None,['3'],1,[0.4232324000040535],48.01685619998898,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5237608999887,None,['1'],1,[0.6195431999949506],48.5237608999887,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.23227739999129,None,['2'],1,[0.5702738999971189],49.23227739999129,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,None,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.89910549999331,None,['3'],1,[0.33644279999134596],49.89910549999331,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,None,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.44080079998821,None,None,1,,50.44080079998821,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
1,['3'],TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,10,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,51.355124499998055,None,,,,,,,,,,,,,54.42637209998793,None,['3'],1,[1.216520500005572],54.42637209998793,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
2,['2'],TMTstop-A_1_2.png,TMTstop-A_1_2firstgreen.png,TMTstop-A_1_2firstred.png,10,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,55.717997399988235,None,['2'],1,[0.5646238999906927],55.717997399988235,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
3,['1'],TMTstop-A_1_2linestimulus0.png,TMTstop-A_1_2greenlinestimulus0.png,TMTstop-A_1_2redlinestimulus0.png,10,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,56.365804099987145,None,['1'],1,[0.5765025000000605],56.365804099987145,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
4,['3'],TMTstop-A_1_2linestimulus1.png,TMTstop-A_1_2greenlinestimulus1.png,TMTstop-A_1_2redlinestimulus1.png,10,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,57.01661929998954,None,['3'],1,[1.0316000000020722],57.01661929998954,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
5,['1'],TMTstop-A_1_2linestimulus2.png,TMTstop-A_1_2greenlinestimulus2.png,TMTstop-A_1_2redlinestimulus2.png,10,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,58.128172999990056,None,['1'],1,[1.1526186999981292],58.128172999990056,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
6,['2'],TMTstop-A_1_2linestimulus3.png,TMTstop-A_1_2greenlinestimulus3.png,TMTstop-A_1_2redlinestimulus3.png,10,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,59.36383629999182,None,['2'],1,[0.4236319000046933],59.36383629999182,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
7,['1'],TMTstop-A_1_2linestimulus4.png,TMTstop-A_1_2greenlinestimulus4.png,TMTstop-A_1_2redlinestimulus4.png,10,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,59.86382929999672,None,['1'],1,[0.8462964000063948],59.86382929999672,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
8,['2'],TMTstop-A_1_2linestimulus5.png,TMTstop-A_1_2greenlinestimulus5.png,TMTstop-A_1_2redlinestimulus5.png,10,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,60.794287899989286,None,['2'],1,[0.5964730999985477],60.794287899989286,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
9,['1'],TMTstop-A_1_2linestimulus6.png,TMTstop-A_1_2greenlinestimulus6.png,TMTstop-A_1_2redlinestimulus6.png,10,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,61.47519879999163,None,['1'],1,[2.588256699993508],61.47519879999163,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
10,['3'],TMTstop-A_1_2linestimulus7.png,TMTstop-A_1_2greenlinestimulus7.png,TMTstop-A_1_2redlinestimulus7.png,10,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,64.14176889999362,None,['3'],1,[0.7087318999983836],64.14176889999362,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
11,['1'],TMTstop-A_1_2linestimulus8.png,TMTstop-A_1_2greenlinestimulus8.png,TMTstop-A_1_2redlinestimulus8.png,10,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9332216999901,None,['1'],1,[0.5265857000049436],64.9332216999901,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
12,['3'],TMTstop-A_1_2linestimulus9.png,TMTstop-A_1_2greenlinestimulus9.png,TMTstop-A_1_2redlinestimulus9.png,10,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,65.53770449999138,None,['3'],1,[1.1398941999941599],65.53770449999138,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
13,['1'],TMTstop-A_1_2linestimulus10.png,TMTstop-A_1_2greenlinestimulus10.png,TMTstop-A_1_2redlinestimulus10.png,1,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,66.77341269998578,None,['1'],1,[0.41159190000325907],66.77341269998578,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
14,['2'],TMTstop-A_1_2linestimulus11.png,TMTstop-A_1_2greenlinestimulus11.png,TMTstop-A_1_2redlinestimulus11.png,None,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,67.28286269999808,None,['2'],1,[0.4103499000048032],67.28286269999808,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
15,['3'],TMTstop-A_1_2linestimulus12.png,TMTstop-A_1_2greenlinestimulus12.png,TMTstop-A_1_2redlinestimulus12.png,None,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,67.77349399999366,None,['3'],1,[0.48594100000627805],67.77349399999366,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
16,['1'],TMTstop-A_1_2linestimulus13.png,TMTstop-A_1_2greenlinestimulus13.png,TMTstop-A_1_2redlinestimulus13.png,None,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3358894999983,None,['1'],1,[1.0687010000110604],68.3358894999983,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
17,['2'],TMTstop-A_1_2linestimulus14.png,TMTstop-A_1_2greenlinestimulus14.png,TMTstop-A_1_2redlinestimulus14.png,None,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,69.48218789999373,None,['2'],1,[1.073915400003898],69.48218789999373,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
18,['3'],TMTstop-A_1_2linestimulus15.png,TMTstop-A_1_2greenlinestimulus15.png,TMTstop-A_1_2redlinestimulus15.png,None,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,70.6413593999896,None,['3'],1,[1.2040054999961285],70.6413593999896,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
19,['1'],TMTstop-A_1_2linestimulus16.png,TMTstop-A_1_2greenlinestimulus16.png,TMTstop-A_1_2redlinestimulus16.png,None,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,71.93312109999533,None,['1'],1,[0.652180999997654],71.93312109999533,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
20,['3'],TMTstop-A_1_2linestimulus17.png,TMTstop-A_1_2greenlinestimulus17.png,TMTstop-A_1_2redlinestimulus17.png,None,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,72.66260299998976,None,['3'],1,[0.8720046999951592],72.66260299998976,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
21,['1'],TMTstop-A_1_2linestimulus18.png,TMTstop-A_1_2greenlinestimulus18.png,TMTstop-A_1_2redlinestimulus18.png,None,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,73.60682839999208,None,['1'],1,[1.042930499999784],73.60682839999208,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
22,['2'],TMTstop-A_1_2linestimulus19.png,TMTstop-A_1_2greenlinestimulus19.png,TMTstop-A_1_2redlinestimulus19.png,None,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7594526999892,None,['2'],1,[1.1161127999948803],74.7594526999892,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
23,['1'],TMTstop-A_1_2linestimulus20.png,TMTstop-A_1_2greenlinestimulus20.png,TMTstop-A_1_2redlinestimulus20.png,None,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,75.96085279999534,None,['1'],1,[1.6266271000058623],75.96085279999534,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
24,['2'],TMTstop-A_1_2linestimulus21.png,TMTstop-A_1_2greenlinestimulus21.png,TMTstop-A_1_2redlinestimulus21.png,None,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,77.68399059999501,None,['2'],1,[1.016001600000891],77.68399059999501,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
25,['1'],TMTstop-A_1_2linestimulus22.png,TMTstop-A_1_2greenlinestimulus22.png,TMTstop-A_1_2redlinestimulus22.png,None,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7875500999944,None,['1'],1,[0.6263535999896703],78.7875500999944,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
None,None,TMTstop-A_1_2linestimulus23.png,TMTstop-A_1_2greenlinestimulus23.png,TMTstop-A_1_2redlinestimulus23.png,None,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,79.49533059999521,None,None,1,,79.49533059999521,None,,,,001,2021_Nov_17_1114,TMTAB,2021.2.3,145.7598460760572,
